"LIDNUM"	"NAME"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"UNIQUE"
20505	"Sinap 5"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20506	"Sinap 6"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20555	"Sinap 71"	10.55	11.2	9.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20555	"Sinap 71"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20561	"Sinap 81"	10.55	11.2	9.9	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
20561	"Sinap 81"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20562	"Sinap 86"	10.55	11.2	9.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20562	"Sinap 86"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"\N"	"indet."	"-"
20509	"Sinap 9"	10.55	11.2	9.9	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
20566	"Sinap 92"	10.55	11.2	9.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20566	"Sinap 92"	10.55	11.2	9.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20307	"Varnitsa"	10.55	11.2	9.9	"Artiodactyla"	"Bovidae"	"Hippotragini"	"indet."	"-"
20258	"Wartenberg"	10.55	11.2	9.9	"Proboscidea"	"Elephantoidea"	"\N"	"indet."	"-"
24358	"Nombrevilla-1"	10.788	11.056	10.52	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
28758	"Ecoparc de Can Mata/VCE-Bc"	10.8773333333333	11.056	10.6986666666667	"Artiodactyla"	"Bovidae"	"Boselaphini"	"indet."	"-"
21213	"Zheltokamenka"	10.9125	11.2	10.625	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
24830	"Creu Conill 20"	11.167	11.188	11.146	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
24315	"Nombrevilla-9"	11.167	11.188	11.146	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20427	"Hammerschmiede"	11.774	12.090666666667	11.457333333333	"Primates"	"Pliopithecidae"	"\N"	"indet."	"-"
20427	"Hammerschmiede"	11.774	12.090666666667	11.457333333333	"Artiodactyla"	"Moschidae"	"Blastomerycinae"	"indet."	"-"
20427	"Hammerschmiede"	11.774	12.090666666667	11.457333333333	"Artiodactyla"	"Cervidae"	"Muntiacini"	"indet."	"-"
20427	"Hammerschmiede"	11.774	12.090666666667	11.457333333333	"Artiodactyla"	"Bovidae"	"Boselaphinae"	"indet."	"-"
21138	"Aleksandrodar"	11.85	12.2	11.5	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
21138	"Aleksandrodar"	11.85	12.2	11.5	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
21138	"Aleksandrodar"	11.85	12.2	11.5	"Artiodactyla"	"Bovidae"	"Antilopini"	"indet."	"-"
21138	"Aleksandrodar"	11.85	12.2	11.5	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
21138	"Aleksandrodar"	11.85	12.2	11.5	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
21135	"Kutsaj M"	11.85	12.2	11.5	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
28247	"Abocador de Can Mata: C4-Ap"	11.853	11.9183333333333	11.7876666666667	"Primates"	"indet."	"\N"	"indet."	"-"
